Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	Ref11	C11	C51	A11	A21	P11	Ref_TMT1-2	C1_2	C5_2	A1_2	A2_2	P1_2	Ref_TMT2-1	C3_1	P2_1	P3_1	A3_1	C4_1	Ref_TMT2_2	C3_2	P2_2	P3_2	A3_2	C4_2	RefTMT41	C61	A61	P51	P61	RofTMT41	Ref_TMT4-2	C6_2	A6_2	P5_2	P6_2	Rof_tTMt4-2
A0A075B6H7	6	IGKV3-7	1.0	17.480931841865353	16.45907995337649	17.896204710748265	15.979761288422063	18.168799225362104	18.060929165640438	16.942431507658675	16.719745249967847	18.392706540404276	14.788582963050874	16.714966845753516	18.504163429620476	17.072406327459092	16.793728635568463	17.758509796059904	17.234372511958345	17.031039311257487	17.939736288898736	17.764712782190887	NA	NA	NA	NA	NA	NA	17.00895493007291	18.05934614125904	16.087048755413427	17.62966011015678	18.010522945694238	17.251830032697672	16.886666615280596	18.216783905796174	15.577496285845733	17.427640876538444	18.286195851450845	16.953379039824682
A0A075B6H9	5	IGLV4-69	1.0	18.29371441353333	NA	NA	NA	NA	NA	NA	17.841179789796804	19.248821506967996	16.279205422476224	18.69791263732426	18.368121091757985	17.70188872558673	16.62994745931807	18.19659982735086	18.924009205080807	18.212438226702837	18.531636858108406	18.400852527100128	NA	NA	NA	NA	NA	NA	17.506719964082105	18.849439888160965	17.128713494347746	18.18150245921512	19.08493560405956	18.016316716118048	NA	NA	NA	NA	NA	NA
A0A075B6I0	11	IGLV8-61	0.9993	19.694149978770145	NA	NA	NA	NA	NA	NA	19.222650973639627	20.796885693727468	18.196198531301235	20.053148452564006	19.149856746845952	18.691168844084938	NA	NA	NA	NA	NA	NA	18.64655329269751	20.47652414872137	19.532918068190064	19.09873101875646	20.32698361273439	19.07704635452303	19.288332254794465	20.408942599150137	18.023389560883956	18.932710871406833	20.750192859328894	18.811719745936983	18.993009532079157	20.37488812835606	18.254695956754333	18.821923893499736	20.73125389712725	18.740060406336443
A0A075B6I9	2	IGLV7-46	0.9999	19.09694551251531	NA	NA	NA	NA	NA	NA	18.577358937585792	19.84825036990808	17.355898278837156	19.349481576061375	19.613618944424978	18.57826338522719	NA	NA	NA	NA	NA	NA	17.982275109637335	19.463597822048868	19.379366441293218	18.611254618252694	19.01471230865059	19.55518309892483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6J9	2	IGLV2-18	1.0	15.048852763609405	NA	NA	NA	NA	NA	NA	14.09865696339031	15.885034390968757	13.306435860838377	15.308036914649406	15.711191367537213	14.356404385318422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.177295794837136	15.754958370355412	14.452037501796168	14.954313566053267	15.719730408824411	14.387361460189608
A0A075B6K4	39	IGLV3-10	1.0	21.09218374332429	20.628989131710398	22.252944240944217	19.038797476856917	20.749614887913694	21.303029867343568	20.776687641582882	20.75500284587819	22.2126644765846	18.39909231346928	20.726413453887286	21.270980217402677	20.746565329836564	20.008217826351434	21.66129205564012	21.351874739527375	20.721910464714842	21.25927820420655	21.023364592490225	19.87407065629312	21.665496889201563	21.421833363547833	20.62616880949301	21.354308634386417	21.145809520817018	20.261563844287096	22.07349887346685	19.734339217068978	21.380584496935437	21.147953397559558	20.80946348223083	20.276894010333304	21.902030276230708	20.055257081777114	21.129280214853438	21.30352130209432	21.105555577853863
A0A075B6K5	11	IGLV3-9	1.0	19.76959020203045	NA	NA	NA	NA	NA	NA	17.991796247342617	20.40936498703684	19.26173848121365	19.726021503587926	20.61491006067073	19.21341165723247	18.39309401714974	19.501133367607473	20.18701710534978	19.200858802658725	20.234032639106736	19.889001741771455	18.292911213675286	20.35473015513781	19.813080467172295	19.48899288103253	19.465999213494218	20.22156310032561	19.061152913971114	20.21333307924394	18.730681107015062	19.84387441607966	20.315637591726382	19.809816397785127	19.22648112540321	20.350494650073973	18.68765369469207	19.480913313122333	20.275776041319276	19.919882323015038
A0A075B6P5	90	IGKV2-28	1.0	23.52191644368568	22.92946650649946	24.44964488141666	20.858821872345004	23.47729332624018	24.283591395146846	22.806852942407087	22.91902471054229	24.30603649914435	21.32092131903856	23.59996660109506	24.279405465979643	22.73055921926691	22.253445911550006	23.806153350465127	23.58606123107519	23.43562304890545	23.464821379415397	23.9996545796495	22.93779553502188	23.818768831601474	23.283654266455326	23.573902289376754	23.200192270663138	24.09789100783419	22.679308649486952	24.074379626386577	22.085673498616433	22.376677583752063	24.494779574928994	23.764511872755058	22.61463089520952	24.19935948195882	22.05717079409941	22.265505958577407	24.366830543185152	23.63670701561137
A0A075B6Q5	3	IGHV3-64	1.0	15.019425835985771	NA	NA	NA	NA	NA	NA	13.35625275054061	15.834479031450794	13.228666827333742	15.870995568469198	15.528320471947437	13.72765844475881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.480357489045463	15.11169492819556	12.41352259323868	14.547226826364344	16.084782684987463	14.665907709389417
A0A075B6R2	13	IGHV4-4	0.9974	19.175899867910232	NA	NA	NA	NA	NA	NA	18.120134341555516	18.970161996844535	16.721412498249503	19.630297078385215	20.49614155475109	18.444049354155776	17.408997750360555	20.21564608734764	19.70243417233636	18.929110030559293	18.20070254808487	18.955605790377636	17.641152538810957	19.933206898241785	18.743449254884453	18.71156288322977	18.042859780100105	20.315985687410507	18.515408899490886	19.82919505847251	17.83884685541517	18.7994654877022	19.732242281852262	19.341158880445896	18.555838348397593	19.759914454549513	17.75844459100822	18.929679940481122	19.73679812862333	19.398308648405962
A0A075B6R9	42	IGKV2D-24	1.0	20.769552947695008	20.239467978260883	21.683715509834467	18.766866830697886	20.89676685797349	21.279272953317673	20.210253624450118	20.225864811874985	21.75694060074188	18.43512828386381	20.853890087145928	20.885049696546165	20.102285395726184	19.326971755255496	21.25638488018223	21.41041017225536	20.460646120304023	20.944681703785193	20.302759112566218	19.567137825433928	21.04593969181751	21.230480711449985	20.94055162439822	20.719152635047653	20.781533966477074	19.82312943543379	21.21335952449483	19.335641665988703	19.525344619132422	22.018922741951933	20.727912354391048	19.89650343792327	21.352568065480916	19.273453850591366	19.69413613267109	21.81708893603413	20.78107731351295
A0A075B6S5	3	IGKV1-27	1.0	15.09275381045327	NA	NA	NA	NA	NA	NA	13.66742676479722	15.606927174874729	NA	14.09945660473729	15.789781055416782	15.198432141342023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.334631776674668	15.88162654197879	13.948881631680072	14.753470441479713	15.593789319513842	15.092580844878011
A0A075B6S9	6	IGKV1-37	0.9999	15.343074504608836	NA	NA	NA	NA	NA	NA	13.943356390521997	15.977139862121643	13.585645250897471	16.094879077325626	15.237953666085756	14.132186346759394	NA	NA	NA	NA	NA	NA	NA	15.692584162515198	15.000012972244935	15.17964670520158	NA	15.406031886409803	14.04197890288365	15.968127163758979	13.359386860282891	15.234880944569621	15.667444600863888	16.038360695292546	14.728828210405918	15.729176759413512	14.271751780147683	15.294000003867849	15.856784353872495	15.39056253814935
A0A075B7B8	20	IGHV3OR16-12	1.0	20.655008756579786	19.94910151666233	21.101599203533212	18.794814758267098	21.138888975597105	21.204198233181767	20.16021691786405	NA	NA	NA	NA	NA	NA	19.176318251374422	20.97413113007757	20.951080242649994	20.64412473237694	20.737949882372455	20.79306296563035	NA	NA	NA	NA	NA	NA	19.845617146863805	20.84264415810177	19.254593970251765	20.60417891260008	21.26044928674867	20.71528513582985	NA	NA	NA	NA	NA	NA
A0A075B7D0	19	IGHV1OR15-1	1.0	19.73182903158533	19.92741432610964	20.098325092041005	18.08566022009732	20.106215977915472	20.18778692514909	18.941280368774944	19.791399038798136	19.992537217424648	18.500534645109127	20.21124881036167	20.01695259568743	19.183640182832427	18.631877405497963	20.241795103473784	19.81056649689065	19.242235814035	19.368592992176247	20.295259316731055	18.690358384102954	20.099034632421105	19.93911360888033	19.04111465232367	19.04612667603882	20.56809717901393	19.479874520278504	19.615433002959847	18.212673156283884	18.94198646961763	20.860608168380107	19.795202635937244	19.653202040858833	19.5003729452534	18.29898561707501	18.591173275776647	21.02261688844544	19.645118364501485
A0A075B7D8	3	IGHV3OR15-7	0.9994	17.67184239602448	17.081109910992776	18.623137715991952	15.927381743035802	17.957150449472987	17.90333245711839	17.05603977237429	NA	NA	NA	NA	NA	NA	16.56510986784461	17.976723925067546	17.564913813604335	17.81135826038152	17.642498445214894	18.039632008100035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WSY4	13	IGHV4-30-2	0.9998	18.942261446659266	17.929972724304974	20.378328980348016	18.428307542755164	18.47803562851691	18.83890235273032	17.615607734861154	17.981322238261075	20.236801265730847	18.783247161851737	18.619445160976827	18.847852739120658	17.625696491421234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.205430932117174	20.26794971615465	17.416683008577163	18.158906525525836	18.984921204710826	18.982301375547575	18.13351901575875	20.31512855005104	17.34709302974182	18.29190759516115	18.767623560151677	18.87672989032856
A0A087WSY6	11	IGKV3D-15	1.0	19.922510930710242	NA	NA	NA	NA	NA	NA	19.271335816964758	20.683899491133413	18.390849153998392	20.106389923908644	20.597256286095455	19.241738441463518	NA	NA	NA	NA	NA	NA	18.7208908420061	20.32251415621191	20.035144526437758	19.43562329929874	19.589882672732692	20.423223748760762	NA	NA	NA	NA	NA	NA	19.111418197927776	20.61523535388607	18.924853543017033	19.24415593704165	20.396757115190884	20.313725142756176
A0A087WSZ0	2	IGKV1D-8	0.9953	14.67769953624293	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.67769953624293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.67769953624293	NA	NA
A0A087WW87	1	IGKV2-40	1.0	15.857727997389317	15.124303442512286	16.700073239685185	14.73041650529751	15.57207417126348	15.947999409707133	16.194416920819304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MRZ8	56	IGKV3D-11	1.0	23.17994541839328	22.513125446237808	23.983269632601434	21.342274844387692	23.499938075621593	23.7171543157112	22.608965635932773	22.418773464698877	23.993776125388848	21.141803192856038	23.01626674199485	23.76967293398147	22.101215464634898	22.26075443928401	23.559278675152186	23.11286072585829	22.50404696090415	23.04563235380777	23.9478699200255	22.050003199178732	23.5063132849164	22.91097565608283	22.806144070065535	23.03104807385619	23.953466107812183	21.982631059445968	23.271695611800332	21.570922681279693	22.61069596361939	23.23871914333528	24.3161499309567	22.13332395885916	23.4767252301952	21.89606474735093	22.619884759549475	23.342185301394256	24.056454773655194
A0A0A0MS14	1	IGHV1-45	0.9969	14.318682294716503	13.078472554149384	15.226045092495411	11.145603515344881	14.165092226339711	15.184969418074548	14.11483270253479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MS15	23	IGHV3-49	1.0	19.753260858662003	19.195867951404818	20.703715713393358	16.803151582257875	19.494650097753876	20.438960030264873	19.426442312030623	19.131399848662866	20.691790882259536	17.28910772622931	19.78799029982865	20.119843299005417	19.402379373872474	17.95095436188325	20.959601104673585	19.975654706550568	19.108338199416337	19.24156752045225	19.690928667123565	18.588336566798617	21.174489629091802	19.77262124537613	18.94047084110047	18.715935492593076	19.715894134020783	19.138795116525944	20.22011021666062	18.21245416370399	19.00354955515027	19.764935610981105	20.74129534670425	19.06967429013381	20.211475737828472	17.985772911939748	18.784879117380132	19.590679918366547	20.958227618391987
A0A0A0MT69	1	IGKJ4	0.9967	16.017265588925707	NA	NA	NA	NA	NA	NA	15.59430720523954	16.780312110391087	13.620918599919422	15.756188742902134	16.904479060272692	15.467277947694884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MT89	2	IGKJ1	0.9962	16.822474235862746	NA	NA	NA	NA	NA	NA	16.055821800901818	17.516243718482546	14.90719363342615	17.14059225470988	17.383030213652205	16.514999648591687	NA	NA	NA	NA	NA	NA	16.0567471455213	17.165426207075694	16.481639635828895	16.113321598622647	17.26026568951437	17.295171075421617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1V0	4	IGHV3-15	1.0	15.506884136071166	NA	NA	NA	NA	NA	NA	14.892779373106084	16.370694340586496	13.006968101036966	15.12963922126998	16.22974029624281	15.401700959020992	NA	NA	NA	NA	NA	NA	13.776894905375542	15.879575731126538	15.789551091800325	15.42781967906007	16.128996882535887	14.867408133356188	14.9086596018547	16.00149377482034	15.5868598139938	15.258499199670288	15.568709983843686	15.489276787382519	NA	NA	NA	NA	NA	NA
A0A0B4J1V1	3	IGHV3-21	0.9944	14.702318710591083	NA	NA	NA	NA	NA	NA	NA	14.307168816573055	NA	14.728143111247856	14.93485888477954	14.820210349776561	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.55893856233408	NA	14.83272856001868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1X5	6	IGHV3-74	0.9935	19.744924566193703	NA	NA	NA	NA	NA	NA	19.192714807173218	20.743432635682453	16.79557629567855	19.23741144205005	20.53433351050827	19.34676494452755	18.5184957129224	19.866853077291886	19.990373738158713	19.42898875420952	19.791589407516447	20.293628998020203	18.671415066422885	20.16062250488814	19.704419458401933	19.442604166861248	19.744369461643632	20.094070998887876	19.005571045013376	20.201868873075828	18.79560945194496	19.53738280625524	20.516499087791523	19.651567556634078	18.89202815600587	20.561320950018253	17.359953649087835	19.032339655751425	20.893681120183608	19.159438192573102
