Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	C1_1	C2_1	C3_1	C4_1	C5_1	AD1_1	AD2_1	AD3_1	AD4_1	AD5_1	C1_2	C2_2	C3_2	C4_2	C5_2	AD1_2	AD2_2	AD3_2	AD4_2	AD5_2
A0A075B6I1	1	IGLV4-60	1.0	17.59778160906754	16.582157656282156	17.328457847858758	17.471095194097295	17.446506960349296	17.362408396405076	17.17068566264739	17.861692087387254	18.015845926143356	17.939358057743586	18.14578838814051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6S5	1	IGKV1-27	0.9997	14.033320132089857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.518464167226725	14.547572544153438	13.966546020681019	14.214622872265071	14.034963328358335	13.98836602382009	13.49123342646852	13.377072079024234	14.313227770604724	13.24111835498247
A0A0B4J1V1	1	IGHV3-21	0.9979	15.736619047416399	14.894975575533996	15.943961944624206	15.267140545667514	14.972789762443407	14.54288233042846	15.237543089026762	15.92238596173522	16.997783636152253	15.207883739989922	16.41835796864779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J2D5	1	GATD3B	0.9997	11.503510003258725	11.163431426743319	11.883507816235358	11.135552685391136	11.872797178477356	11.426962102636875	11.417355750948769	11.332225909428018	11.481278915188565	11.337815465773765	11.751381689975458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0U1RRL7	1	MMP24OS	1.0	16.02704967601891	16.506797878031655	16.19029180555069	16.176622288793777	15.912822680475712	15.480506849913889	16.481041263819943	16.22678561099992	16.11129462340269	15.386071827543006	15.15981879758603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVK7	1	FAM240A	0.9963	15.652251239571816	16.254029392563037	15.53999356796372	15.921967186948956	15.64485246441577	15.616395378894035	15.5500095807342	15.375456520291822	15.558316335430433	15.432550019775105	15.38109072281868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1L4H1	33	SSC5D	1.0	24.037273112433958	23.902811861492367	23.991152645352443	24.083483367170462	23.643148259556657	24.107978794425847	24.16829237589655	24.198643442054173	24.092427215250055	24.029365635347904	24.116315883994478	23.92373142615692	23.954078046504815	24.05773359534311	23.704325939264304	23.973551778924826	23.982751811306752	24.169521884154122	24.209993287538627	23.929019471339107	24.333120620034663
A2RU67	8	FAM234B	1.0	20.182613950670095	20.347125646019055	20.262044634720525	20.09998221180271	20.069768425151274	20.069693229220004	20.15370043875086	20.212990254102557	20.14699223659458	19.93221165696723	20.340901734093986	20.33918304966813	20.450300376973253	19.941664075061347	20.129685679247796	20.00029607782028	20.261688807440965	20.07711417513965	20.277974359158733	19.95371305452726	20.263194602363868
A5A3E0	2	POTEF	0.9998	13.69529322859311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.089525658958644	13.11891996784724	13.860408051644129	13.36440449255191	13.559315251659472	13.650430343488766	13.316138170592955	14.402058168434847	14.141582282507247	13.322212064402514
A5D6W6	2	FITM1	0.9786	18.014765688301782	15.784925456060448	13.630452873469498	15.871671742001732	15.982161547018327	15.781470990879452	16.633504970680665	17.934242896811625	18.475606286030363	20.05525850186288	19.17546133864445	18.208262535865895	17.983062739668828	17.34473022371005	18.203793699812685	18.328347267695683	17.292355145103386	18.011560854053275	17.60984365532422	18.547004462502624	18.101024346423703
A6BM72	4	MEGF11	1.0	21.96556596349813	21.965615767802326	22.025307593690886	22.071217625909124	22.13268500208482	22.31918359470365	22.0696569191977	21.545295302158973	21.771382092081584	21.677708968458905	21.666953720489	22.403070667838207	21.620461981699112	21.6972982104816	21.854631008480126	21.688593280663234	22.202778379217364	21.816218861552116	22.442302805446207	21.718475347956513	21.715994203021435
A6NCE7	4	MAP1LC3B2	1.0	20.985267530566944	21.112411301223418	20.876255837989316	20.882355066718258	21.22196453036964	20.71777327496918	21.312837436194474	20.743168868203348	21.13857584482271	20.733984036758635	20.874630746377232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6NDG6	3	PGP	1.0	17.044647533215336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.07250331135552	17.023974719565317	16.792299246932426	17.16039381501045	16.923687468491885	17.0119723094204	17.229812017489426	17.48861058713946	16.80385367595962	17.3127082256209
A6NFR6	1	C5orf60	0.9856	11.503510003258725	11.199856418543417	11.384446112774908	11.281805549444568	11.394612947250646	11.238981548530472	10.99300249708479	11.60998088797228	11.907224165679354	11.827475542937503	11.880306149250307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6NGN9	21	IGLON5	1.0	23.89238038284861	24.073186974819073	24.060581711389865	24.111116841867336	23.90175052221638	23.99791211557969	24.02888601865666	23.562312229170363	23.70258680081466	23.765730226546555	23.522640533569344	24.033680506791512	23.888945926465574	23.9520839198242	24.012912828281042	23.854064629929635	24.01663418231065	23.62658546328865	23.832833725749985	23.63402725684629	23.75583703988187
A6NGU5	1	GGT3P	1.0	15.852989399544438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.0702834512395	15.733914038383597	15.886431965362156	15.445048308669985	15.644636301987703	15.440768463021513	16.10637574664608	16.22840618965635	15.774244493812414	15.972590407520734
A6NL88	7	SHISA7	1.0	20.930519471637897	21.463168276990245	21.096153541895664	21.094035982590096	21.008636788571046	20.67321652384382	21.185458023825287	20.552240770163884	20.8901569349114	20.86370923025391	20.289332013643243	21.487057593213514	21.101025007807767	21.073911094378854	20.912373673912466	20.80757414693937	20.98880156488451	20.498956560542517	20.900839350928468	20.667123844717548	20.33597006476443
A6NLU5	24	VSTM2B	1.0	25.16487443907588	25.38888191589933	25.278949607886418	25.36401940973821	25.435663509755916	25.22957994240831	25.07543794926152	24.88468413573492	25.163987362267765	24.602619138502018	24.468768422301956	25.45119751340624	25.493453803654987	25.414823421608418	25.418460553691375	25.18002153268871	25.053496890013115	24.979708001957636	25.17774192331971	24.593297889010973	24.302602650759837
A8K2U0	1	A2ML1	1.0	17.376821618794384	16.999951332009744	16.907500939095918	17.93450518479594	17.05596002917555	16.526094601707854	16.282799516835535	17.82338851701587	17.485060898226564	18.01911741037234	17.652565686997388	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A8MVW0	1	FAM171A2	1.0	16.330056762148615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.549848602534933	16.63793232226731	16.47531013070823	16.492523222763392	15.914264024427089	16.308915031562062	16.163390973608468	16.482078890891394	16.06836697483969	16.010348274573047
B1AKI9	3	ISM1	1.0	14.200825803346756	14.169507775289098	14.115843306830419	14.048806590203188	14.353481900256847	13.881816052633864	14.432245321391834	14.380451189453217	14.249274292416718	14.145955634612715	14.007586463774413	14.182464279561096	13.642458044943295	13.96106820668699	13.780967405639041	13.5949467778946	13.890848821695679	14.933363552103991	14.9980850897779	14.19887283045405	14.01223485854361
B1AL88	1	FAM155A	1.0	18.557596111855826	18.80996000744606	18.3791966398385	18.234883729999616	18.341441451628782	17.874878879589744	18.559853275156975	18.90255988801106	19.102800924798068	17.815404152957004	18.9504677646441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B2RUY7	5	VWC2L	1.0	18.346020649074536	18.955179797993637	18.247435340547142	18.473962377037495	18.411245567194356	18.371613775105104	18.359836728876882	18.15131050450851	18.199983967167434	17.94949573097159	17.8160977477019	18.52682708441013	18.545367211774014	18.317530726006442	18.4877381407128	18.324479382843986	18.293476020330115	18.14074543893758	18.180390372389766	18.284626237701236	18.108556234067454
B4DS77	2	SHISA9	0.9993	11.503510003258725	11.632479759716286	11.194246338433183	11.65875736802884	11.464052878961843	11.748123635352744	11.634630085716452	11.20094189314496	11.341339973886482	11.974475978151577	10.864955988388381	12.041428369697066	11.466230735319868	11.757833347597659	11.797526312856435	11.756880327951627	11.58056760165573	10.929394508876838	11.36578408052188	11.034021376868273	10.778721641589051
B8ZZ34	1	SHISA8	0.9979	22.31965088696504	22.4323258004831	22.35498887944056	22.364831182953584	22.84226418306178	22.07897545338647	22.758838123576986	21.673121811609658	22.590088203817977	22.083123563528815	21.402737227629853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B9A064	3	IGLL5	0.9978	18.483122663084107	18.309437784858453	18.727717700132	19.112619716100063	18.466127104055964	18.402828851263003	18.06962499693067	18.250858364658356	18.30276344477055	18.58801578785044	18.2404717418065	18.613249312294442	18.54479857626631	18.775013249424546	18.54832567705825	18.491050042615782	17.881899234335744	18.49803829619683	18.52440842577983	18.346951099840222	18.450142088936044
C9JVW0	2	INAFM1	1.0	23.6075559553011	23.710288813179936	23.339839755122707	23.653845359156733	23.66257630414564	23.431068489383964	23.72327147463935	23.827578892407846	23.917292385432173	23.285316619243776	23.375894898798208	23.857039396575868	23.231396391200224	23.582812521785126	23.530150007981437	23.433148458009075	23.714312633464758	23.855657877683687	23.972378842372002	23.248693752217328	23.44250098985201
I3L3R5	11	CCER2	1.0	20.748723523743447	20.94352238034215	21.206430636201286	20.754500493558485	20.449550906926138	20.830437402032462	20.667043253515857	20.72443714700324	20.97331644504717	20.61952981323503	20.459361293255164	21.049078044223517	20.824420287177684	20.746540017769114	20.781303699367662	20.797006232168314	20.678481744598507	20.53006087209248	20.85521696720842	20.433719525996974	20.353124575104534
O00115	10	DNASE2	1.0	23.411449456261888	23.51719584808803	23.813578917340887	23.20697182945426	23.49234669820091	23.333070852788026	23.378628968034704	23.197308037134047	23.265488822876428	23.251437340057503	23.37250330011457	23.312674292612527	23.57865890703495	22.924666437773205	23.29434333730903	22.983213010774985	23.265062537478364	23.187210507793903	23.510671491861707	23.567322844763577	23.793074472186877
O00142	2	TK2	0.9984	23.14624628296834	23.27591188583272	23.37616176925857	23.24603996677227	23.60740479946405	22.69819483316966	23.10383790095179	22.87330626829306	23.5692434468863	22.914020504505615	22.312833547407106	23.650440238813324	23.503345030868175	23.30461038604377	23.057252651538793	NA	21.114875123547208	NA	NA	NA	NA
O00154	1	ACOT7	1.0	11.503510003258725	11.559275427183579	11.609207042725933	11.540047328928864	11.664811937834855	11.301044842155092	11.67830539974071	11.2374008021087	11.581493917280495	11.555914598584115	11.214861845068294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O00168	2	FXYD1	1.0	16.636740125439903	16.962347207476192	16.445178976284005	16.77310436970956	17.04141433654242	16.47967021943895	16.556034827041806	16.088610152072828	16.608897497435855	16.889611112632714	16.22058853772937	17.16229446671349	16.600971445181955	16.91062578342583	17.0944798953025	16.3952677961726	16.580436510509752	16.136596017118205	16.44736598674122	16.679363397034322	15.853199641473298
