"","p1","p2","p3","seyfried_data_seyfried_model","seyfried_data_mann_model","mann_data_seyfried_model","mann_data_mann_model","averageAUROC","Gene.x","Gene.y","Gene"
"1","P00558","P04075","P04406",0.888205128205128,0.882417582417582,0.783742544042169,0.79317519766958,0.833080063229876,"PGK1","ALDOA","GAPDH"
"2","P00558","P04075","P06733",0.891623711340206,0.879896907216495,0.77,0.772857142857143,0.824948453608247,"PGK1","ALDOA","ENO1"
"3","P00558","P04075","P07195",0.884835164835165,0.881318681318681,0.791788042724372,0.793730059647663,0.836553362021527,"PGK1","ALDOA","LDHB"
"4","P00558","P04075","P10451",0.878250591016548,0.856792144026187,0.800388403384658,0.803995006242197,0.828590273705422,"PGK1","ALDOA","SPP1"
"5","P00558","P04075","P10599",0.917237237237237,0.89957957957958,0.7933139131641,0.795394645581912,0.84644674637184,"PGK1","ALDOA","TXN"
"6","P00558","P04075","P14618",0.884981684981685,0.883882783882784,0.800110972395617,0.801914273824386,0.8419968781392,"PGK1","ALDOA","PKM"
"7","P00558","P04075","P17677",0.884172499435538,0.875743207646572,0.765848245248994,0.793730059647663,0.820795726447783,"PGK1","ALDOA","GAP43"
"8","P00558","P04075","P18065",0.878241758241758,0.878974358974359,0.791570771001151,0.795023014959724,0.835272564987755,"PGK1","ALDOA","IGFBP2"
"9","P00558","P04075","P30086",0.881684981684982,0.874358974358974,0.762102926896934,0.798446386461368,0.818230950627954,"PGK1","ALDOA","PEBP1"
"10","P00558","P04075","P40925",0.886739926739927,0.868791208791209,0.779338725698879,0.78884631758195,0.824064967245044,"PGK1","ALDOA","MDH1"
"11","P00558","P04075","P63104",0.926080586080586,0.921465201465201,0.81953114162852,0.823692606464142,0.870498171546861,"PGK1","ALDOA","YWHAZ"
"12","P00558","P04075","P80723",0.879340659340659,0.877948717948718,0.790806754221388,0.792682926829268,0.834377736085053,"PGK1","ALDOA","BASP1"
"13","P00558","P04075","Q9H4F8",0.906666666666667,0.895824175824176,0.788382399493511,0.789490345045901,0.842103287658843,"PGK1","ALDOA","SMOC1"
"14","P00558","P04406","P06733",0.777448453608247,0.733505154639175,0.698367346938776,0.711428571428571,0.715936250788975,"PGK1","GAPDH","ENO1"
"15","P00558","P04406","P07195",0.828717948717949,0.81032967032967,0.739908447773616,0.740879456235261,0.775119059051643,"PGK1","GAPDH","LDHB"
"16","P00558","P04406","P10451",0.756046553918894,0.658028732496818,0.661256762380358,0.743653766125676,0.659642747438588,"PGK1","GAPDH","SPP1"
"17","P00558","P04406","P10599",0.794594594594595,0.756036036036036,0.681231793591344,0.711194340407824,0.71863391481369,"PGK1","GAPDH","TXN"
"18","P00558","P04406","P14618",0.863296703296703,0.833553113553114,0.754196143709252,0.762380357885976,0.793874628631183,"PGK1","GAPDH","PKM"
"19","P00558","P04406","P17677",0.814781365244224,0.664032512982615,0.561797752808989,0.700097100846164,0.612915132895802,"PGK1","GAPDH","GAP43"
"20","P00558","P04406","P18065",0.773626373626374,0.747985347985348,0.669447640966628,0.683256616800921,0.708716494475988,"PGK1","GAPDH","IGFBP2"
"21","P00558","P04406","P30086",0.833260073260073,0.771208791208791,0.663337494798169,0.682202802052989,0.71727314300348,"PGK1","GAPDH","PEBP1"
"22","P00558","P04406","P40925",0.814945054945055,0.794945054945055,0.71377891301263,0.716617000141904,0.754361983978842,"PGK1","GAPDH","MDH1"
"23","P00558","P04406","P63104",0.912967032967033,0.90989010989011,0.814676099320294,0.816756831738105,0.862283104605202,"PGK1","GAPDH","YWHAZ"
"24","P00558","P04406","P80723",0.833040293040293,0.824981684981685,0.725766103814884,0.736397748592871,0.775373894398285,"PGK1","GAPDH","BASP1"
"25","P00558","P04406","Q9H4F8",0.814578754578755,0.791208791208791,0.704495093383982,0.735517568850902,0.747851942296387,"PGK1","GAPDH","SMOC1"
"26","P00558","P06733","P07195",0.801675257731959,0.76520618556701,0.66530612244898,0.721020408163265,0.715256154007995,"PGK1","ENO1","LDHB"
"27","P00558","P06733","P10451",0.693409247757074,0.649068322981367,0.726122448979592,0.748775510204082,0.687595385980479,"PGK1","ENO1","SPP1"
"28","P00558","P06733","P10599",0.762065095398429,0.754882154882155,0.695510204081633,0.698163265306122,0.725196179481894,"PGK1","ENO1","TXN"
"29","P00558","P06733","P14618",0.855927835051546,0.787242268041237,0.763061224489796,0.776530612244898,0.775151746265517,"PGK1","ENO1","PKM"
"30","P00558","P06733","P17677",0.78284430346286,0.641950832672482,0.514897959183674,0.720408163265306,0.578424395928078,"PGK1","ENO1","GAP43"
"31","P00558","P06733","P18065",0.700128865979381,0.69201030927835,0.684310018903592,0.71686620457887,0.688160164090971,"PGK1","ENO1","IGFBP2"
"32","P00558","P06733","P30086",0.821778350515464,0.736082474226804,0.643877551020408,0.707959183673469,0.689980012623606,"PGK1","ENO1","PEBP1"
"33","P00558","P06733","P40925",0.7875,0.737628865979381,0.689855072463768,0.71304347826087,0.713741969221575,"PGK1","ENO1","MDH1"
"34","P00558","P06733","P63104",0.923840206185567,0.89819587628866,0.774489795918367,0.794489795918367,0.836342836103514,"PGK1","ENO1","YWHAZ"
"35","P00558","P06733","P80723",0.798582474226804,0.771005154639175,0.662916188289323,0.726750861079219,0.716960671464249,"PGK1","ENO1","BASP1"
"36","P00558","P06733","Q9H4F8",0.765592783505155,0.765592783505155,0.725494505494506,0.74043956043956,0.74554364449983,"PGK1","ENO1","SMOC1"
"37","P00558","P07195","P10451",0.797417712311329,0.72713220585561,0.704674712165349,0.741018171729782,0.715903459010479,"PGK1","LDHB","SPP1"
"38","P00558","P07195","P10599",0.832552552552553,0.801201201201201,0.697738937439312,0.718962408100985,0.749470069320257,"PGK1","LDHB","TXN"
"39","P00558","P07195","P14618",0.850622710622711,0.835824175824176,0.781245665140796,0.777222915799695,0.808534920482486,"PGK1","LDHB","PKM"
"40","P00558","P07195","P17677",0.817566041995936,0.741852938962896,0.57885975863504,0.723262588431128,0.660356348798968,"PGK1","LDHB","GAP43"
"41","P00558","P07195","P18065",0.818021978021978,0.76014652014652,0.646288837744534,0.712600690448792,0.703217678945527,"PGK1","LDHB","IGFBP2"
"42","P00558","P07195","P30086",0.825421245421245,0.800952380952381,0.703703703703704,0.725204605354418,0.752328042328042,"PGK1","LDHB","PEBP1"
"43","P00558","P07195","P40925",0.813992673992674,0.778021978021978,0.702568468851994,0.721583652618135,0.740295223436986,"PGK1","LDHB","MDH1"
"44","P00558","P07195","P63104",0.917216117216117,0.893479853479853,0.764599805798308,0.790817034262727,0.829039829639081,"PGK1","LDHB","YWHAZ"
"45","P00558","P07195","P80723",0.8196336996337,0.788058608058608,0.672138836772983,0.729362101313321,0.730098722415796,"PGK1","LDHB","BASP1"
"46","P00558","P07195","Q9H4F8",0.836556776556777,0.792161172161172,0.670781893004115,0.725862614751504,0.731471532582644,"PGK1","LDHB","SMOC1"
"47","P00558","P10451","P10599",0.76001182207773,0.706369144377124,0.703287557220141,0.738243861839367,0.704828350798633,"PGK1","SPP1","TXN"
"48","P00558","P10451","P14618",0.844244408074195,0.765411893071468,0.768067693161326,0.794839783603829,0.766739793116397,"PGK1","SPP1","PKM"
"49","P00558","P10451","P17677",0.779516491754123,0.596139430284858,0.483423498404772,0.73491468997087,0.539781464344815,"PGK1","SPP1","GAP43"
"50","P00558","P10451","P18065",0.690489179850882,0.625750136388434,0.701093210586881,0.731012658227848,0.663421673487658,"PGK1","SPP1","IGFBP2"
"51","P00558","P10451","P30086",0.807328605200946,0.668121476632115,0.647523928422805,0.734082397003745,0.65782270252746,"PGK1","SPP1","PEBP1"
"52","P00558","P10451","P40925",0.772322240407347,0.666666666666667,0.715481765290194,0.73804455796793,0.69107421597843,"PGK1","SPP1","MDH1"
"53","P00558","P10451","P63104",0.893798872522277,0.860429168939807,0.787904008877792,0.799001248439451,0.824166588908799,"PGK1","SPP1","YWHAZ"
"54","P00558","P10451","P80723",0.801418439716312,0.728041462084015,0.689962476547842,0.739837398373984,0.709001969315929,"PGK1","SPP1","BASP1"
"55","P00558","P10451","Q9H4F8",0.773777050372795,0.731678486997636,0.726495726495726,0.732193732193732,0.729087106746681,"PGK1","SPP1","SMOC1"
"56","P00558","P10599","P14618",0.872792792792793,0.853213213213213,0.763767512831183,0.764044943820225,0.808490363022198,"PGK1","TXN","PKM"
"57","P00558","P10599","P17677",0.816096096096096,0.706306306306306,0.508531002913025,0.710223331946178,0.607418654609666,"PGK1","TXN","GAP43"
"58","P00558","P10599","P18065",0.750630630630631,0.735615615615616,0.693325661680092,0.692318757192175,0.714470638647854,"PGK1","TXN","IGFBP2"
"59","P00558","P10599","P30086",0.810810810810811,0.751711711711712,0.649188514357054,0.699403523373561,0.700450113034383,"PGK1","TXN","PEBP1"
"60","P00558","P10599","P40925",0.845045045045045,0.766246246246246,0.704980842911877,0.70356179934724,0.735613544579062,"PGK1","TXN","MDH1"
"61","P00558","P10599","P63104",0.919279279279279,0.904264264264264,0.787487862394229,0.790817034262727,0.845876063329247,"PGK1","TXN","YWHAZ"
"62","P00558","P10599","P80723",0.83027027027027,0.801201201201201,0.672607879924953,0.710756722951845,0.736904540563077,"PGK1","TXN","BASP1"
"63","P00558","P10599","Q9H4F8",0.811771771771772,0.808288288288288,0.713358657803102,0.713516935739158,0.760823473045695,"PGK1","TXN","SMOC1"
"64","P00558","P14618","P17677",0.853014224429894,0.802664258297584,0.721043140518796,0.777916493272299,0.76185369940819,"PGK1","PKM","GAP43"
"65","P00558","P14618","P18065",0.853846153846154,0.841684981684982,0.768411967779056,0.764528193325662,0.805048474732019,"PGK1","PKM","IGFBP2"
"66","P00558","P14618","P30086",0.853846153846154,0.82051282051282,0.738521292828409,0.766403107227077,0.779517056670615,"PGK1","PKM","PEBP1"
"67","P00558","P14618","P40925",0.846300366300366,0.836410256410256,0.762026394210302,0.760323541932737,0.799218325310279,"PGK1","PKM","MDH1"
"68","P00558","P14618","P63104",0.915970695970696,0.911575091575092,0.823831321958663,0.823137744486059,0.867703206766877,"PGK1","PKM","YWHAZ"
"69","P00558","P14618","P80723",0.843882783882784,0.836263736263736,0.763914946841776,0.775171982489056,0.800089341552756,"PGK1","PKM","BASP1"
"70","P00558","P14618","Q9H4F8",0.881245421245421,0.860805860805861,0.775561886672998,0.778885723330168,0.818183873739429,"PGK1","PKM","SMOC1"
