Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	01_01 Spectral Count	01_02 Spectral Count	02_01 Spectral Count	02_02 Spectral Count	01_01 Unique Spectral Count	01_02 Unique Spectral Count	02_01 Unique Spectral Count	02_02 Unique Spectral Count	01_01 Total Spectral Count	01_02 Total Spectral Count	02_01 Total Spectral Count	02_02 Total Spectral Count	01_01 Intensity	01_02 Intensity	02_01 Intensity	02_02 Intensity	01_01 Unique Intensity	01_02 Unique Intensity	02_01 Unique Intensity	02_02 Unique Intensity	01_01 Total Intensity	01_02 Total Intensity	02_01 Total Intensity	02_02 Total Intensity	01_01 MaxLFQ Intensity	01_02 MaxLFQ Intensity	02_01 MaxLFQ Intensity	02_02 MaxLFQ Intensity	01_01 MaxLFQ Unique Intensity	01_02 MaxLFQ Unique Intensity	02_01 MaxLFQ Unique Intensity	02_02 MaxLFQ Unique Intensity	01_01 MaxLFQ Total Intensity	01_02 MaxLFQ Total Intensity	02_01 MaxLFQ Total Intensity	02_02 MaxLFQ Total Intensity	Indistinguishable Proteins
sp|A0A0B4J1V0|HV315_HUMAN	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	119	27.70	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 3-15	1.0000	0.9990	4	9	9	15	5	1	1	2	5	1	1	2	5	1	6	3	3573466.2	867839.75	233250.66	1480095.8	3573466.2	867839.75	233250.66	1480095.8	3.1261E7	0.0	3829782.2	1480095.8	2337641.8	867839.75	233250.66	1158775.0	2337641.8	867839.75	233250.66	1158775.0	1.1126661E7	5725147.0	1539047.0	5514654.0	
sp|A0A0B4J1Y9|HV372_HUMAN	A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	119	35.30	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 3-72	1.0000	0.9990	4	37	29	37	8	3	14	12	8	3	8	10	8	3	14	12	3.2013706E7	1599371.8	1.055951E7	3881717.5	4326172.0	1599371.8	6729728.0	3881717.5	3.2013706E7	1599371.8	1.055951E7	3881717.5	5618629.0	2712853.0	8255121.5	5028643.5	3229885.5	1599371.8	4860675.0	3043838.5	5618629.0	2712853.0	8255121.5	5028643.5	
sp|A0A0C4DH34|HV428_HUMAN	A0A0C4DH34	HV428_HUMAN	IGHV4-28	117	26.50	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 4-28	1.0000	0.9987	1	8	8	8	3	0	3	2	3	0	3	2	3	0	3	2	414072.53	0.0	472669.66	657953.44	414072.53	0.0	472669.66	657953.44	414072.53	0.0	472669.66	657953.44	570342.75	0.0	651012.6	906205.8	570342.75	0.0	651012.6	906205.8	570342.75	0.0	651012.6	906205.8	
sp|A0A0J9YX35|HV64D_HUMAN	A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	117	18.80	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin heavy variable 3-64D	1.0000	0.9990	2	13	13	13	6	0	2	5	6	0	2	5	6	0	2	5	2346344.0	0.0	268569.94	2218333.0	2346344.0	0.0	268569.94	2218333.0	2346344.0	0.0	268569.94	2218333.0	1243422.1	0.0	361344.25	1155441.0	1243422.1	0.0	361344.25	1155441.0	1243422.1	0.0	361344.25	1155441.0	
sp|A1L4H1|SRCRL_HUMAN	A1L4H1	SRCRL_HUMAN	SSC5D	1573	17.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	1.0000	0.9990	6	17	17	17	11	0	0	6	11	0	0	6	11	0	0	6	2747661.0	0.0	0.0	3026274.8	2747661.0	0.0	0.0	3026274.8	2747661.0	0.0	0.0	3026274.8	1367321.4	0.0	0.0	1464353.6	1367321.4	0.0	0.0	1464353.6	1367321.4	0.0	0.0	1464353.6	
sp|A6NGN9|IGLO5_HUMAN	A6NGN9	IGLO5_HUMAN	IGLON5	336	25.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	IgLON family member 5	1.0000	0.9987	5	34	34	38	12	4	10	8	12	4	10	8	14	4	10	10	1.3487746E7	1.9962686E7	1.4426924E7	9191482.0	1.3487746E7	1.9962686E7	1.4426924E7	9191482.0	1.3487746E7	1.9962686E7	1.4426924E7	9191482.0	8247886.5	8531717.0	7326792.0	6463214.5	8247886.5	8531717.0	7326792.0	6463214.5	8010521.0	8531717.0	7326792.0	6654730.5	
sp|A6NL88|SHSA7_HUMAN	A6NL88	SHSA7_HUMAN	SHISA7	538	18.60	Homo sapiens OX=9606	2:Experimental evidence at transcript level	Protein shisa-7	1.0000	0.9990	2	14	14	14	3	2	4	5	3	2	4	5	3	2	4	5	844237.8	503979.66	836617.56	938576.56	844237.8	503979.66	836617.56	938576.56	844237.8	503979.66	836617.56	938576.56	844237.8	503979.66	836617.56	938576.56	844237.8	503979.66	836617.56	938576.56	844237.8	503979.66	836617.56	938576.56	
sp|A6NLU5|VTM2B_HUMAN	A6NLU5	VTM2B_HUMAN	VSTM2B	285	30.50	Homo sapiens OX=9606	3:Protein inferred from homology	V-set and transmembrane domain-containing protein 2B	1.0000	0.9990	5	34	34	34	13	3	10	8	13	3	10	8	13	3	10	8	6963457.5	741732.8	1204185.9	5284192.0	6963457.5	741732.8	1204185.9	5284192.0	6963457.5	741732.8	1204185.9	5284192.0	2332571.5	1260197.9	2255081.0	2032095.0	2332571.5	1260197.9	2255081.0	2032095.0	2332571.5	1260197.9	2255081.0	2032095.0	
sp|O00115|DNS2A_HUMAN	O00115	DNS2A_HUMAN	DNASE2	360	15.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Deoxyribonuclease-2-alpha	1.0000	0.9990	4	18	18	18	6	4	1	7	6	4	1	7	6	4	1	7	3.550634E7	2.3506342E7	3071007.8	2.2352898E7	3.550634E7	2.3506342E7	3071007.8	2.2352898E7	3.550634E7	2.3506342E7	3071007.8	2.2352898E7	2.1553934E7	1.4702177E7	3071007.8	1.4594988E7	2.1553934E7	1.4702177E7	3071007.8	1.4594988E7	2.1553934E7	1.4702177E7	3071007.8	1.4594988E7	
sp|O00187|MASP2_HUMAN	O00187	MASP2_HUMAN	MASP2	686	12.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mannan-binding lectin serine protease 2	1.0000	0.9990	2	6	6	6	1	0	1	4	1	0	1	4	1	0	1	4	1439313.5	0.0	600043.1	1474933.1	1439313.5	0.0	600043.1	1474933.1	1439313.5	0.0	600043.1	1474933.1	901309.25	0.0	600043.1	941049.56	901309.25	0.0	600043.1	941049.56	901309.25	0.0	600043.1	941049.56	
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	36.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1	1.0000	0.9990	6	22	17	22	8	0	0	14	6	0	0	11	8	0	0	14	3922834.5	0.0	0.0	2476594.0	2843592.8	0.0	0.0	3533387.8	3922834.5	0.0	0.0	2476594.0	1450492.5	0.0	0.0	1681199.1	1149747.4	0.0	0.0	1332650.2	1450492.5	0.0	0.0	1681199.1	
sp|O00391|QSOX1_HUMAN	O00391	QSOX1_HUMAN	QSOX1	747	15.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Sulfhydryl oxidase 1	1.0000	0.9990	6	19	19	19	5	1	9	4	5	1	9	4	5	1	9	4	2126473.0	1238590.5	969305.44	2398677.2	2126473.0	1238590.5	969305.44	2398677.2	2126473.0	1238590.5	969305.44	2398677.2	872916.4	2528910.0	1415441.0	1026762.3	872916.4	2528910.0	1415441.0	1026762.3	872916.4	2528910.0	1415441.0	1026762.3	
sp|O00451|GFRA2_HUMAN	O00451	GFRA2_HUMAN	GFRA2	464	26.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	GDNF family receptor alpha-2	1.0000	0.9990	10	61	61	61	16	7	23	15	16	7	23	15	16	7	23	15	3.391794E7	1.3623362E7	3.7237128E7	3.8914112E7	3.391794E7	1.3623362E7	3.7237128E7	3.8914112E7	3.391794E7	1.3623362E7	3.7237128E7	3.8914112E7	2.7082258E7	2.2794032E7	2.3895658E7	2.488152E7	2.7082258E7	2.2794032E7	2.3895658E7	2.488152E7	2.7082258E7	2.2794032E7	2.3895658E7	2.488152E7	
sp|O00461|GOLI4_HUMAN	O00461	GOLI4_HUMAN	GOLIM4	696	25.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Golgi integral membrane protein 4	1.0000	0.9990	7	51	51	51	23	2	5	21	23	2	5	21	23	2	5	21	1.4747584E7	9318070.0	8726337.0	1.0410042E7	1.4747584E7	9318070.0	8726337.0	1.0410042E7	1.4747584E7	9318070.0	8726337.0	1.0410042E7	6281677.5	6936457.5	8939528.0	6062926.5	6281677.5	6936457.5	8939528.0	6062926.5	6281677.5	6936457.5	8939528.0	6062926.5	
sp|O00462|MANBA_HUMAN	O00462	MANBA_HUMAN	MANBA	879	19.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Beta-mannosidase	1.0000	0.9990	11	51	46	51	20	3	8	20	18	2	6	20	20	3	8	20	1.783907E7	1.0833949E7	5969914.5	1.3179917E7	1.4144104E7	7796153.5	4626871.0	9041844.0	1.783907E7	1.0833949E7	5969914.5	1.3179917E7	5414958.5	8727187.0	4095650.8	6810516.5	3180170.0	1.2430421E7	3605308.2	4504775.0	5414958.5	8727187.0	4095650.8	6810516.5	
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	22.20	Homo sapiens OX=9606	1:Experimental evidence at protein level	Agrin	1.0000	0.9990	20	88	88	88	39	9	16	24	39	9	16	24	39	9	16	24	2.5202074E7	7708713.0	2305461.5	1.540473E7	2.5202074E7	7708713.0	2305461.5	1.540473E7	2.5202074E7	7708713.0	2305461.5	1.540473E7	8794419.0	5954203.0	4378368.0	6987917.0	8794419.0	5954203.0	4378368.0	6987917.0	8794419.0	5954203.0	4378368.0	6987917.0	
sp|O00499|BIN1_HUMAN	O00499	BIN1_HUMAN	BIN1	593	14.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myc box-dependent-interacting protein 1	1.0000	0.9990	2	8	8	8	3	0	0	5	3	0	0	5	3	0	0	5	959293.5	0.0	0.0	1655806.0	959293.5	0.0	0.0	1655806.0	959293.5	0.0	0.0	1655806.0	577132.6	0.0	0.0	1022742.8	577132.6	0.0	0.0	1022742.8	577132.6	0.0	0.0	1022742.8	
