"ACTION_DIRECTION","ACTION_SCORE","ACTION_TYPE","edge-label","EDGE_UNIQUE_SUID","EVIDENCE_CODE","INITIAL_SOURCE_NAME","INITIAL_TARGET_NAME","interaction","INTERACTION_TYPE","KappaScore","name","Regulates Source","Regulates Target","selected","shared interaction","shared name","SIGNUM","SOURCE_NAME","SOURCE_SYMBOL_NAME","TARGET_NAME","TARGET_SYMBOL_NAME","UNIQUE_ID"
,,,,"1511","TAS","GO:0006007","2023","gene-term","GO:0006007",,"glucose%20catabolic%20process (gene-term) ENO1",,,"true","gene-term","glucose%20catabolic%20process (gene-term) ENO1",,,,,,"GO:0006007 (gene-term) 2023"
,,,,"1517","TAS","GO:0006007","226","gene-term","GO:0006007",,"glucose%20catabolic%20process (gene-term) ALDOA",,,"true","gene-term","glucose%20catabolic%20process (gene-term) ALDOA",,,,,,"GO:0006007 (gene-term) 226"
,,,,"1523","TAS","GO:0006007","2597","gene-term","GO:0006007",,"glucose%20catabolic%20process (gene-term) GAPDH",,,"true","gene-term","glucose%20catabolic%20process (gene-term) GAPDH",,,,,,"GO:0006007 (gene-term) 2597"
,,,,"1529","TAS","GO:0006007","5230","gene-term","GO:0006007",,"glucose%20catabolic%20process (gene-term) PGK1",,,"true","gene-term","glucose%20catabolic%20process (gene-term) PGK1",,,,,,"GO:0006007 (gene-term) 5230"
,,,,"1535","TAS","GO:0006007","5315","gene-term","GO:0006007",,"glucose%20catabolic%20process (gene-term) PKM",,,"true","gene-term","glucose%20catabolic%20process (gene-term) PKM",,,,,,"GO:0006007 (gene-term) 5315"
,,,,"1541","TAS","GO:0006094","2023","gene-term","GO:0006094",,"gluconeogenesis (gene-term) ENO1",,,"true","gene-term","gluconeogenesis (gene-term) ENO1",,,,,,"GO:0006094 (gene-term) 2023"
,,,,"1544","TAS","GO:0006094","226","gene-term","GO:0006094",,"gluconeogenesis (gene-term) ALDOA",,,"true","gene-term","gluconeogenesis (gene-term) ALDOA",,,,,,"GO:0006094 (gene-term) 226"
,,,,"1547","TAS","GO:0006094","2597","gene-term","GO:0006094",,"gluconeogenesis (gene-term) GAPDH",,,"true","gene-term","gluconeogenesis (gene-term) GAPDH",,,,,,"GO:0006094 (gene-term) 2597"
,,,,"1553","TAS","GO:0006094","4190","gene-term","GO:0006094",,"gluconeogenesis (gene-term) MDH1",,,"true","gene-term","gluconeogenesis (gene-term) MDH1",,,,,,"GO:0006094 (gene-term) 4190"
,,,,"1556","TAS","GO:0006094","5230","gene-term","GO:0006094",,"gluconeogenesis (gene-term) PGK1",,,"true","gene-term","gluconeogenesis (gene-term) PGK1",,,,,,"GO:0006094 (gene-term) 5230"
,,,,"1559","kappa:0.68",,,"term-term","term-term","0.6749999999999999","gluconeogenesis (term-term) glucose catabolic process",,,"true","term-term","gluconeogenesis (term-term) glucose catabolic process","+",,,,,"GO:0006094 (term-term) GO:0006007"
,,,,"1565","TAS","GO:0006735","2023","gene-term","GO:0006735",,"NADH%20regeneration (gene-term) ENO1",,,"true","gene-term","NADH%20regeneration (gene-term) ENO1",,,,,,"GO:0006735 (gene-term) 2023"
,,,,"1568","TAS","GO:0006735","226","gene-term","GO:0006735",,"NADH%20regeneration (gene-term) ALDOA",,,"true","gene-term","NADH%20regeneration (gene-term) ALDOA",,,,,,"GO:0006735 (gene-term) 226"
,,,,"1571","TAS","GO:0006735","2597","gene-term","GO:0006735",,"NADH%20regeneration (gene-term) GAPDH",,,"true","gene-term","NADH%20regeneration (gene-term) GAPDH",,,,,,"GO:0006735 (gene-term) 2597"
,,,,"1574","TAS","GO:0006735","5230","gene-term","GO:0006735",,"NADH%20regeneration (gene-term) PGK1",,,"true","gene-term","NADH%20regeneration (gene-term) PGK1",,,,,,"GO:0006735 (gene-term) 5230"
,,,,"1577","TAS","GO:0006735","5315","gene-term","GO:0006735",,"NADH%20regeneration (gene-term) PKM",,,"true","gene-term","NADH%20regeneration (gene-term) PKM",,,,,,"GO:0006735 (gene-term) 5315"
,,,,"1580","kappa:1.0",,,"term-term","term-term","1.0","NADH regeneration (term-term) glucose catabolic process",,,"true","term-term","NADH regeneration (term-term) glucose catabolic process","+",,,,,"GO:0006735 (term-term) GO:0006007"
,,,,"1583","kappa:0.68",,,"term-term","term-term","0.6749999999999999","NADH regeneration (term-term) gluconeogenesis",,,"true","term-term","NADH regeneration (term-term) gluconeogenesis","+",,,,,"GO:0006735 (term-term) GO:0006094"
,,,,"1589","IGI","GO:0006754","2023","gene-term","GO:0006754","2.0","ATP%20biosynthetic%20process (gene-term) ENO1",,,"true","gene-term","ATP%20biosynthetic%20process (gene-term) ENO1",,,,,,"GO:0006754 (gene-term) 2023"
,,,,"1592","IMP","GO:0006754","226","gene-term","GO:0006754","2.0","ATP%20biosynthetic%20process (gene-term) ALDOA",,,"true","gene-term","ATP%20biosynthetic%20process (gene-term) ALDOA",,,,,,"GO:0006754 (gene-term) 226"
,,,,"1598","IDA","GO:0006754","7114","gene-term","GO:0006754","2.0","ATP%20biosynthetic%20process (gene-term) TMSB4X",,,"true","gene-term","ATP%20biosynthetic%20process (gene-term) TMSB4X",,,,,,"GO:0006754 (gene-term) 7114"
,,,,"1604","IGI","GO:0009145","2023","gene-term","GO:0009145","2.0","purine%20nucleoside%20triphosphate%20biosynthetic%20process (gene-term) ENO1",,,"true","gene-term","purine%20nucleoside%20triphosphate%20biosynthetic%20process (gene-term) ENO1",,,,,,"GO:0009145 (gene-term) 2023"
,,,,"1607","IMP","GO:0009145","226","gene-term","GO:0009145","2.0","purine%20nucleoside%20triphosphate%20biosynthetic%20process (gene-term) ALDOA",,,"true","gene-term","purine%20nucleoside%20triphosphate%20biosynthetic%20process (gene-term) ALDOA",,,,,,"GO:0009145 (gene-term) 226"
,,,,"1610","IDA","GO:0009145","7114","gene-term","GO:0009145","2.0","purine%20nucleoside%20triphosphate%20biosynthetic%20process (gene-term) TMSB4X",,,"true","gene-term","purine%20nucleoside%20triphosphate%20biosynthetic%20process (gene-term) TMSB4X",,,,,,"GO:0009145 (gene-term) 7114"
,,,,"1613","kappa:1.0",,,"term-term","term-term","1.0","purine nucleoside triphosphate biosynthetic process (term-term) ATP biosynthetic process",,,"true","term-term","purine nucleoside triphosphate biosynthetic process (term-term) ATP biosynthetic process","+",,,,,"GO:0009145 (term-term) GO:0006754"
,,,,"1619","IGI","GO:0009206","2023","gene-term","GO:0009206","2.0","purine%20ribonucleoside%20triphosphate%20biosynthetic%20process (gene-term) ENO1",,,"true","gene-term","purine%20ribonucleoside%20triphosphate%20biosynthetic%20process (gene-term) ENO1",,,,,,"GO:0009206 (gene-term) 2023"
,,,,"1622","IMP","GO:0009206","226","gene-term","GO:0009206","2.0","purine%20ribonucleoside%20triphosphate%20biosynthetic%20process (gene-term) ALDOA",,,"true","gene-term","purine%20ribonucleoside%20triphosphate%20biosynthetic%20process (gene-term) ALDOA",,,,,,"GO:0009206 (gene-term) 226"
,,,,"1625","IDA","GO:0009206","7114","gene-term","GO:0009206","2.0","purine%20ribonucleoside%20triphosphate%20biosynthetic%20process (gene-term) TMSB4X",,,"true","gene-term","purine%20ribonucleoside%20triphosphate%20biosynthetic%20process (gene-term) TMSB4X",,,,,,"GO:0009206 (gene-term) 7114"
,,,,"1628","kappa:1.0",,,"term-term","term-term","1.0","purine ribonucleoside triphosphate biosynthetic process (term-term) ATP biosynthetic process",,,"true","term-term","purine ribonucleoside triphosphate biosynthetic process (term-term) ATP biosynthetic process","+",,,,,"GO:0009206 (term-term) GO:0006754"
,,,,"1631","is_a:",,,"term-term","term-term","2.0","purine ribonucleoside triphosphate biosynthetic process (term-term-ontology) ATP biosynthetic process",,"POSITIVELY_REGULATES","true","term-term","purine ribonucleoside triphosphate biosynthetic process (term-term-ontology) ATP biosynthetic process","+",,,,,"GO:0009206 (term-term-ontology) GO:0006754"
,,,,"1634","kappa:1.0",,,"term-term","term-term","1.0","purine ribonucleoside triphosphate biosynthetic process (term-term) purine nucleoside triphosphate biosynthetic process",,,"true","term-term","purine ribonucleoside triphosphate biosynthetic process (term-term) purine nucleoside triphosphate biosynthetic process","+",,,,,"GO:0009206 (term-term) GO:0009145"
,,,,"1637","is_a:",,,"term-term","term-term","2.0","purine ribonucleoside triphosphate biosynthetic process (term-term-ontology) purine nucleoside triphosphate biosynthetic process","POSITIVELY_REGULATES",,"true","term-term","purine ribonucleoside triphosphate biosynthetic process (term-term-ontology) purine nucleoside triphosphate biosynthetic process","+",,,,,"GO:0009206 (term-term-ontology) GO:0009145"
,,,,"1646","IDA","GO:0018198","11315","gene-term","GO:0018198","2.0","peptidyl-cysteine%20modification (gene-term) PARK7",,,"true","gene-term","peptidyl-cysteine%20modification (gene-term) PARK7",,,,,,"GO:0018198 (gene-term) 11315"
,,,,"1649","ISS","GO:0018198","2597","gene-term","GO:0018198",,"peptidyl-cysteine%20modification (gene-term) GAPDH",,,"true","gene-term","peptidyl-cysteine%20modification (gene-term) GAPDH",,,,,,"GO:0018198 (gene-term) 2597"
,,,,"1655","IMP","GO:0018198","7295","gene-term","GO:0018198","2.0","peptidyl-cysteine%20modification (gene-term) TXN",,,"true","gene-term","peptidyl-cysteine%20modification (gene-term) TXN",,,,,,"GO:0018198 (gene-term) 7295"
,,,,"1661","TAS","GO:0019319","2023","gene-term","GO:0019319",,"hexose%20biosynthetic%20process (gene-term) ENO1",,,"true","gene-term","hexose%20biosynthetic%20process (gene-term) ENO1",,,,,,"GO:0019319 (gene-term) 2023"
,,,,"1664","TAS","GO:0019319","226","gene-term","GO:0019319",,"hexose%20biosynthetic%20process (gene-term) ALDOA",,,"true","gene-term","hexose%20biosynthetic%20process (gene-term) ALDOA",,,,,,"GO:0019319 (gene-term) 226"
,,,,"1667","TAS","GO:0019319","2597","gene-term","GO:0019319",,"hexose%20biosynthetic%20process (gene-term) GAPDH",,,"true","gene-term","hexose%20biosynthetic%20process (gene-term) GAPDH",,,,,,"GO:0019319 (gene-term) 2597"
,,,,"1670","TAS","GO:0019319","4190","gene-term","GO:0019319",,"hexose%20biosynthetic%20process (gene-term) MDH1",,,"true","gene-term","hexose%20biosynthetic%20process (gene-term) MDH1",,,,,,"GO:0019319 (gene-term) 4190"
,,,,"1673","TAS","GO:0019319","5230","gene-term","GO:0019319",,"hexose%20biosynthetic%20process (gene-term) PGK1",,,"true","gene-term","hexose%20biosynthetic%20process (gene-term) PGK1",,,,,,"GO:0019319 (gene-term) 5230"
,,,,"1676","kappa:0.68",,,"term-term","term-term","0.6749999999999999","hexose biosynthetic process (term-term) glucose catabolic process",,,"true","term-term","hexose biosynthetic process (term-term) glucose catabolic process","+",,,,,"GO:0019319 (term-term) GO:0006007"
,,,,"1679","kappa:1.0",,,"term-term","term-term","1.0","hexose biosynthetic process (term-term) gluconeogenesis",,,"true","term-term","hexose biosynthetic process (term-term) gluconeogenesis","+",,,,,"GO:0019319 (term-term) GO:0006094"
,,,,"1682","is_a:",,,"term-term","term-term","2.0","hexose biosynthetic process (term-term-ontology) gluconeogenesis",,"POSITIVELY_REGULATES","true","term-term","hexose biosynthetic process (term-term-ontology) gluconeogenesis","+",,,,,"GO:0019319 (term-term-ontology) GO:0006094"
,,,,"1685","kappa:0.68",,,"term-term","term-term","0.6749999999999999","hexose biosynthetic process (term-term) NADH regeneration",,,"true","term-term","hexose biosynthetic process (term-term) NADH regeneration","+",,,,,"GO:0019319 (term-term) GO:0006735"
,,,,"1691","TAS","GO:0019320","2023","gene-term","GO:0019320",,"hexose%20catabolic%20process (gene-term) ENO1",,,"true","gene-term","hexose%20catabolic%20process (gene-term) ENO1",,,,,,"GO:0019320 (gene-term) 2023"
,,,,"1694","TAS","GO:0019320","226","gene-term","GO:0019320",,"hexose%20catabolic%20process (gene-term) ALDOA",,,"true","gene-term","hexose%20catabolic%20process (gene-term) ALDOA",,,,,,"GO:0019320 (gene-term) 226"
,,,,"1697","TAS","GO:0019320","2597","gene-term","GO:0019320",,"hexose%20catabolic%20process (gene-term) GAPDH",,,"true","gene-term","hexose%20catabolic%20process (gene-term) GAPDH",,,,,,"GO:0019320 (gene-term) 2597"
,,,,"1700","TAS","GO:0019320","5230","gene-term","GO:0019320",,"hexose%20catabolic%20process (gene-term) PGK1",,,"true","gene-term","hexose%20catabolic%20process (gene-term) PGK1",,,,,,"GO:0019320 (gene-term) 5230"
,,,,"1703","TAS","GO:0019320","5315","gene-term","GO:0019320",,"hexose%20catabolic%20process (gene-term) PKM",,,"true","gene-term","hexose%20catabolic%20process (gene-term) PKM",,,,,,"GO:0019320 (gene-term) 5315"
,,,,"1706","kappa:1.0",,,"term-term","term-term","1.0","hexose catabolic process (term-term) glucose catabolic process",,,"true","term-term","hexose catabolic process (term-term) glucose catabolic process","+",,,,,"GO:0019320 (term-term) GO:0006007"
,,,,"1709","is_a:",,,"term-term","term-term","2.0","hexose catabolic process (term-term-ontology) glucose catabolic process",,"POSITIVELY_REGULATES","true","term-term","hexose catabolic process (term-term-ontology) glucose catabolic process","+",,,,,"GO:0019320 (term-term-ontology) GO:0006007"
,,,,"1712","kappa:0.68",,,"term-term","term-term","0.6749999999999999","hexose catabolic process (term-term) gluconeogenesis",,,"true","term-term","hexose catabolic process (term-term) gluconeogenesis","+",,,,,"GO:0019320 (term-term) GO:0006094"
,,,,"1715","kappa:1.0",,,"term-term","term-term","1.0","hexose catabolic process (term-term) NADH regeneration",,,"true","term-term","hexose catabolic process (term-term) NADH regeneration","+",,,,,"GO:0019320 (term-term) GO:0006735"
,,,,"1718","kappa:0.68",,,"term-term","term-term","0.6749999999999999","hexose catabolic process (term-term) hexose biosynthetic process",,,"true","term-term","hexose catabolic process (term-term) hexose biosynthetic process","+",,,,,"GO:0019320 (term-term) GO:0019319"
,,,,"1724","IGI","GO:0032507","11315","gene-term","GO:0032507","2.0","maintenance%20of%20protein%20location%20in%20cell (gene-term) PARK7",,,"true","gene-term","maintenance%20of%20protein%20location%20in%20cell (gene-term) PARK7",,,,,,"GO:0032507 (gene-term) 11315"
,,,,"1727","IDA","GO:0032507","7114","gene-term","GO:0032507","2.0","maintenance%20of%20protein%20location%20in%20cell (gene-term) TMSB4X",,,"true","gene-term","maintenance%20of%20protein%20location%20in%20cell (gene-term) TMSB4X",,,,,,"GO:0032507 (gene-term) 7114"
,,,,"1730","IEA","GO:0032507","7295","gene-term","GO:0032507",,"maintenance%20of%20protein%20location%20in%20cell (gene-term) TXN",,,"true","gene-term","maintenance%20of%20protein%20location%20in%20cell (gene-term) TXN",,,,,,"GO:0032507 (gene-term) 7295"
,,,,"1736","IBA","GO:0032507","9168","gene-term","GO:0032507",,"maintenance%20of%20protein%20location%20in%20cell (gene-term) TMSB10",,,"true","gene-term","maintenance%20of%20protein%20location%20in%20cell (gene-term) TMSB10",,,,,,"GO:0032507 (gene-term) 9168"
